Timestamp,Count,SpecialCase,Employer,Employer1,Employer2,Country,Location,Job title,Seniority,Lang/Pos,YrEmployer,YrExperience,ExpBucket,Cur,Rate,GrossEUR,Gender,Additional Comments,Category,MainCat
8/24/2017 23:03:41,,,,,,Denmark,,Developer (.NET),,.NET,"0,2",11,4 seven-fiteen,,,85100.00,,Gross including pension,1 Developer,1 Dev/Eng
8/24/2017 12:17:55,,,Nope,,,Austria,Graz,Software Engineer,,,1,1,1 upto1,,,45000.00,,Fuck you implying anything about a wage gap stupid tranny,2 engi,1 Dev/Eng
8/24/2017 12:41:35,2 No,,tvoja manka,tvoja manka,tvoja manka,Slovakia,u manky,mamickar,,,28,29,5 fiften+,,,0.00,,fly as fuck,9 Other,4 Other
8/24/2017 13:11:32,,,GitLab,GitLab,gitlab,Netherlands,Amsterdam,Senior Software Developer,1 Yes,,2,7,3 three-seven,,,55000.00,,,1 Developer,1 Dev/Eng
8/24/2017 20:19:37,,,bwin,bwin,bwin,Austria,Vienna,Software Engineer,,,2,6,3 three-seven,,,52000.00,,meow,2 engi,1 Dev/Eng
8/25/2017 3:21:36,2 No,,McDonalds Corp,McDonalds Corp,mcdonalds corp,Greece,GREECE,CEO,,,69,666,,,,0.00,,nigger,6 MGMT,2 MGMT (cons)
8/24/2017 15:55:52,,,,,,Germany,Berlin,Software Developer,,,3,10+,4 seven-fiteen,,,54000.00,,,1 Developer,1 Dev/Eng
8/24/2017 12:48:33,2 No,,,,,Slovakia,,soft dev,,,5,9,4 seven-fiteen,,,200.00,,,1 Developer,1 Dev/Eng
8/24/2017 16:58:54,,,Tempo,Tempo,tempo,United Kingdom,London,Software Development Intern,,,3 months,1 year,1 upto1,,,20000.00,Female,This is a 3 month internship/my first developer job,1 Developer,1 Dev/Eng
8/24/2017 18:26:13,,,Spotify,Spotify,spotify,Sweden,Stockholm,Developer,,,3,7,3 three-seven,,,250000.00,Female,,1 Developer,1 Dev/Eng
8/24/2017 15:58:06,2 No,,Self-Employed,,startup,Austria,Vienna,Software Developer (Javascript and Java),,Java,5,8,4 seven-fiteen,,,48.00,Female,High taxes in Austria but the quality of life is very good,1 Developer,1 Dev/Eng
8/24/2017 18:47:22,,,sdf,sdf,sdf,Ireland,adf,sdf2,,,33,2,2 one-three,,,32112.00,Female,,9 Other,4 Other
8/25/2017 3:07:19,,,Publicis Groupe,Publicis Groupe,publicis groupe,France,Paris,Data Scientist,,,1,2,2 one-three,,,55000.00,Female,,4 DS,1 Dev/Eng
8/24/2017 18:30:15,,,McAfee,McAfee,mcafee,Ireland,Cork,Software Engineer,,,4,5,3 three-seven,,,30000.00,Female,,2 engi,1 Dev/Eng
8/25/2017 10:23:29,,,Kurt Geiger,Kurt Geiger,kurt geiger,United Kingdom,London,Web Developer,,Web,<1,<1,1 upto1,,,38048.71,Female,,1 Developer,1 Dev/Eng
8/24/2017 19:27:25,,,Infogene,Infogene,infogene,France,Paris,Reaserch and development ingenior,,,2,2,2 one-three,,,35000.00,Female,"Informatics services company, so multiple location in reality",1 Developer,1 Dev/Eng
8/24/2017 19:35:26,,,Google,Google,google,France,Paris,Developer,,,3,23,5 fiften+,,,12000.00,Female,,1 Developer,1 Dev/Eng
8/24/2017 12:50:58,,,ewrwer,ewrwer,ewrwer,France,erewrwer,erwer,,,rewrew,ewrrew,,,,333333.00,Female,321321,9 Other,4 Other
8/24/2017 19:16:59,,,Capgemini,Capgemini,capgemini,France,Toulouse ,Software engineer,,,2,2,2 one-three,,,38000.00,Female,,2 engi,1 Dev/Eng
8/24/2017 17:52:13,,,Automattic,Automattic,automattic,Denmark,,Developer,,,<1,4,3 three-seven,,,44047.00,Female,"I'm an intern, so this is the internship rate. Full time developers get more.",1 Developer,1 Dev/Eng
8/24/2017 22:26:03,,, Cedei,,,Spain,Canarias,Developer ,,,2,4,3 three-seven,,,11100.00,Female,,1 Developer,1 Dev/Eng
8/24/2017 18:48:05,,,,,,United Kingdom,,Engineer,,,0.25,3,2 one-three,,,90000.00,Female,,2 engi,1 Dev/Eng
8/24/2017 12:45:27,,,,,,Ireland,Dublin,Software Developement Engineer,,,2.5,6,3 three-seven,,,76800.00,Female,,2 engi,1 Dev/Eng
8/24/2017 17:57:06,,,,,,Germany,NŸrnberg,IT Consultant,,,6,15,4 seven-fiteen,,,72000.00,Female,,3 Consultant,2 MGMT (cons)
8/24/2017 15:24:46,,,,,,Germany,Munich,Senior Software Engineer,1 Yes,,1.5,7,3 three-seven,,,70000.00,Female,,2 engi,1 Dev/Eng
8/24/2017 12:15:05,,,,,,Austria,Germany/Frankfurt,IT Developer,,,1,6,3 three-seven,,,65000.00,Female,Remotely employed in Austria but Employer in Germany,1 Developer,1 Dev/Eng
8/24/2017 12:59:54,,,,,,United Kingdom,Coventry,Senior Software Developer,1 Yes,,3,10,4 seven-fiteen,,,55000.00,Female,,1 Developer,1 Dev/Eng
8/24/2017 20:53:13,,,,,,Spain,Barcelona,Back-end developer,,BackEnd,0,3,2 one-three,,,50000.00,Female,,1 Developer,1 Dev/Eng
8/24/2017 22:55:29,,,,,,Germany,Berlin,Senior QA Engineer,1 Yes,,2,5,3 three-seven,,,50000.00,Female,,2 engi,1 Dev/Eng
